LINE,Date,UTC_TIME,Flight,Fiducial,X_WGS84_UTMZ6N,Y_WGS84_UTMZ6N,LAT_TX,LON_TX,ALT_RADAR_Tx_CALC,ALT_TX_COR,ALT_TX,ALT_HELI,ZHG_TX,DTM,Diurnal_A,Diurnal_B,DIURNAL_COR,MAG1U_DS,MAG1U_L,MAG1U_LD,IGRF,RMI,CPI140K_RAW,CPI40K_RAW,CPI8200_RAW,CXI3300_RAW,CPI1800_RAW,CPI400_RAW,CPQ140K_RAW,CPQ40K_RAW,CPQ8200_RAW,CXQ3300_RAW,CPQ1800_RAW,CPQ400_RAW,CPI140K_DRIFT_COR,CPI40K_DRIFT_COR,CPI8200_drift_cor,CXI3300_DRIFT_COR,CPI1800_DRIFT_COR,CPI400_DRIFT_COR,CPQ140K_DRIFT_COR,CPQ40K_DRIFT_COR,CPQ8200_drift_cor,CXQ3300_DRIFT_COR,CPQ1800_DRIFT_COR,CPQ400_DRIFT_COR,CPI400_final,CPQ400_final,CPI1800_final,CPQ1800_final,CXI3300_final,CXQ3300_final,CPI8200_final,CPQ8200_final,CPI40K_final,CPQ40K_final,CPI140K_final,CPQ140K_final,CPPL,CPSP,CXSP
50010,20160226,82002.7,77024,569.7,382470.9739,7308529.961,65.87624991,-149.5776088,100.7690155,103.5992162,104.0208206,129.3486955,215.06254,111.4633238,56847.00107,56823.4264,-2.998918559,56783.663,56780.635,56783.63392,56915.58933,-131.9554076,98.35495758,20.53724098,27.52607155,4.550531864,9.097574234,8.335918427,-1.04624486,46.64655685,9.715500832,6.077103138,8.144371986,0.702396095,78.82989502,23.89497566,14.94588757,0.221339896,2.911744356,-0.355484992,23.46626472,33.8689537,11.83885098,4.921691418,7.19285202,2.35199666,0.867714107,2.340409279,3.005352974,7.332398415,2.351566315,4.681184292,5.51833725,15.064744,24.60704994,33.55611801,79.85037231,32.93410873,0.00125095,0.002624702,0.000251035
50010,20160226,82002.8,77024,569.8,382474.1015,7308530.357,65.87625461,-149.5775407,101.858114,104.4013861,104.8585434,130.452734,215.03846,110.6370739,56847.00339,56823.42875,-2.996605904,56783.354,56780.342,56783.33861,56915.59415,-132.2555466,98.08293152,20.52319527,27.54558372,4.891398907,9.126955986,8.086497307,-1.386856318,45.8261261,9.57099247,6.131663322,8.172846794,0.625209808,78.55464172,23.87829208,14.96213055,0.561254978,2.939534187,-0.608228981,23.13026619,33.04839325,11.69473839,4.976335049,7.221142292,2.275065899,0.931923151,2.357758999,3.021360636,7.348464966,2.482743502,4.6377635,5.496796608,15.02588177,24.6894207,33.01825714,79.4557724,32.36775589,0.001655465,0.002185807,0.000536402
50010,20160226,82002.9,77024,569.9,382477.229,7308530.754,65.87625932,-149.5774725,102.8862624,105.204118,105.6788712,131.4958224,215.01438,109.810262,56847.0057,56823.43109,-2.994295472,56783.043,56780.054,56783.0483,56915.59898,-132.5506833,98.02316284,20.60758591,27.50556374,5.192756176,9.185328484,7.912820339,-2.219810963,45.13662338,9.616294861,6.048772812,8.184800148,0.608726382,78.49164581,23.96004486,14.91884041,0.861660242,2.996314526,-0.785228908,22.30192375,32.35876465,11.74043655,4.893528461,7.232910633,2.258837938,1.002761841,2.389489651,3.050739288,7.372102261,2.584688902,4.583323956,5.486330509,15.00905514,24.80439758,32.5398674,79.11230469,31.74121094,0.002505256,0.003044334,0.000555312
50010,20160226,82003.0,77024,570.0,382480.3566,7308531.15,65.87626402,-149.5774044,103.8390367,105.9490439,106.4310608,132.4635367,214.9903,109.0412561,56847.00801,56823.43343,-2.991987232,56782.733,56779.77,56782.76199,56915.60381,-132.8418179,97.8843689,20.99812126,27.4128933,5.316688061,9.26811409,7.792876244,-3.371930838,44.74121475,9.833874702,5.818154335,8.195700645,0.601539612,78.34962463,24.34794235,14.82290173,0.984640181,3.077508211,-0.908495903,21.15441704,31.96322632,11.95841122,4.662993908,7.243626118,2.251906633,1.074277401,2.441893816,3.093427181,7.402453423,2.646077871,4.52090168,5.487613678,15.01014042,24.94032288,32.15629196,78.78807831,31.0580864,0.001636639,0.00238299,0.000282532
50010,20160226,82003.1,77024,570.1,382483.4781,7308531.547,65.87626873,-149.5773364,104.7479098,106.5958909,107.066925,133.3462898,214.96777,108.3718791,56847.01031,56823.43575,-2.989681208,56782.426,56779.491,56782.48068,56915.60972,-133.1290349,97.56064606,21.58748436,27.29152298,5.266555309,9.371201515,7.70690918,-4.67726326,44.62578964,10.08245468,5.450014591,8.242007256,0.5757851,78.02267456,24.93466759,14.69826031,0.933555424,3.179003716,-0.997785866,19.85369682,31.84767342,12.20738506,4.294938087,7.289747715,2.226407766,1.141077161,2.519858837,3.148395061,7.436864853,2.656864882,4.455670357,5.515118122,15.02169228,25.08012772,31.87858772,78.43143463,30.37510109,0.001582751,0.002531796,9.6e-05
50010,20160226,82003.2,77024,570.2,382486.5996,7308531.945,65.87627344,-149.5772683,105.5658759,107.1237556,107.5595779,134.1381359,214.94524,107.8214844,56847.01262,56823.43807,-2.987377421,56782.122,56779.215,56782.20238,56915.61563,-133.4132497,97.18667603,21.93822861,27.19783211,5.14125824,9.470410347,7.654967785,-5.822635174,44.65193558,10.20746136,5.045853138,8.33000946,0.604202807,77.64547729,25.28277397,14.60130024,0.807306349,3.276620626,-1.05305016,18.71293831,31.87369156,12.33278751,3.890860319,7.377565384,2.255080938,1.198381543,2.623412609,3.214070559,7.471592903,2.614173412,4.393918991,5.588698864,15.03701687,25.20523262,31.69114113,77.98995209,29.76328278,0.001396803,0.00460718,0.000516092
50010,20160226,82003.3,77024,570.3,382489.7212,7308532.342,65.87627816,-149.5772003,106.2865575,107.4962586,107.9068604,134.8326975,214.92271,107.4264514,56847.01492,56823.44039,-2.985075836,56781.823,56778.943,56781.92808,56915.62154,-133.6934623,96.81399536,21.7928772,27.21175766,4.98663187,9.541194916,7.626842499,-6.439971924,44.68779373,10.19119453,4.77077961,8.420333862,0.791031063,77.2695694,25.1347847,14.61195564,0.651728034,3.345813274,-1.084498405,18.100214,31.90942192,12.31691551,3.615870714,7.467704773,2.44216466,1.241392255,2.745889187,3.287222385,7.502809525,2.526240349,4.342077732,5.718377113,15.05297565,25.29942513,31.55919075,77.44110107,29.27353668,0.00153113,0.003115564,0.000492954
50010,20160226,82003.4,77024,570.4,382492.8427,7308532.74,65.87628287,-149.5771323,106.8994692,107.7088649,108.1317825,135.4194892,214.90018,107.1913151,56847.01722,56823.44271,-2.982776414,56781.526,56778.677,56781.65978,56915.62745,-133.9676727,96.20897675,21.43165016,27.4368515,4.759054661,9.595947266,7.588519096,-6.483924389,44.66885376,10.13461971,4.714485168,8.477902412,1.118305683,76.66132355,24.7709198,14.83378029,0.423198849,3.398973703,-1.126144648,18.06087494,31.89035416,12.26073647,3.559659958,7.52508831,2.769694805,1.264480591,2.875504732,3.362679482,7.525572777,2.408830404,4.305020809,5.899449825,15.06825066,25.35357475,31.4449501,76.80632019,28.92612457,0.001338923,0.004249591,0.000150783
50010,20160226,82003.5,77024,570.5,382495.9642,7308533.137,65.87628758,-149.5770643,107.3981417,107.8109097,108.2759933,135.8920417,214.87765,107.0667403,56847.01952,56823.44503,-2.98047912,56781.229,56778.418,56781.39848,56915.63336,-134.234881,95.14699554,21.30837822,27.96136284,4.42650795,9.672250748,7.527529716,-6.287626266,44.56111526,10.11920547,4.837477207,8.511143684,1.425079584,75.59611511,24.64500999,15.35502338,0.089700155,3.473685265,-1.190456986,18.26178551,31.78248787,12.24571705,3.68273592,7.558144569,3.076724291,1.263448596,2.999305248,3.434652805,7.534132957,2.279012918,4.284049988,6.114018917,15.08160686,25.36801529,31.32268143,76.13995361,28.70626831,0.000805777,0.002516188,0.000400962
50010,20160226,82003.6,77024,570.6,382499.0857,7308533.535,65.87629229,-149.5769963,107.7854216,107.8596747,108.3781967,136.2532016,214.85512,106.9954453,56847.02181,56823.44735,-2.978183983,56780.931,56778.166,56781.14418,56915.63927,-134.4950871,93.84762573,21.48220253,28.69861412,4.063598156,9.780138016,7.503104687,-6.141630173,44.33279037,10.14130402,5.05987215,8.533457756,1.627307534,74.2935257,24.81619644,16.08900452,-0.274161607,3.579980612,-1.218204856,18.41239357,31.55403519,12.26821041,3.905214548,7.580273628,3.279207706,1.239163637,3.1068151,3.498286963,7.52537775,2.153386831,4.276155472,6.335887909,15.09232712,25.35195541,31.18457222,75.50854492,28.567379,0.000805777,0.002516188,0.000400962
50010,20160226,82003.7,77024,570.7,382502.2072,7308533.932,65.876297,-149.5769282,108.071931,107.8810464,108.4587402,136.513591,214.83259,106.9515436,56847.0241,56823.44967,-2.975891026,56780.635,56777.921,56780.89689,56915.64518,-134.7482911,92.88755035,21.63609505,29.33622932,3.81338501,9.884520531,7.599752426,-6.000152588,44.02358627,10.16023064,5.332979679,8.50988102,1.859124303,73.33022308,24.967453,16.72335052,-0.525326729,3.682771206,-1.124880075,18.55848503,31.24470329,12.28753185,4.178405762,7.556512356,3.511279821,1.197386742,3.192312002,3.550565958,7.500532627,2.048955917,4.274825096,6.537234783,15.10039139,25.31789589,31.03779221,74.97161102,28.43899918,0.000977154,0.002530785,8.17e-05
50010,20160226,82003.8,77024,570.8,382505.3288,7308534.33,65.87630172,-149.5768602,108.2685876,107.8743084,108.5227737,136.6841276,214.81006,106.9357516,56847.02639,56823.45199,-2.973600207,56780.342,56777.685,56780.6586,56915.65109,-134.9924929,92.60680389,21.55164719,29.60741234,3.753523827,9.947835922,7.807718277,-5.731785774,43.7693634,10.15892696,5.602295876,8.39167881,2.241782904,73.04624939,24.88036728,16.99126434,-0.586139917,3.744494677,-0.920237124,18.83146477,30.99035263,12.286623,4.447805882,7.438125134,3.894193888,1.145336866,3.255275249,3.589989901,7.464300632,1.98006618,4.273500443,6.691664696,15.106493,25.27460098,30.8961544,74.57187653,28.2519474,0.001112471,0.00320945,0.000600183
50010,20160226,82003.9,77024,570.9,382508.4503,7308534.727,65.87630643,-149.5767922,108.3848313,107.8601499,108.5731354,136.7742513,214.78753,106.9273801,56847.02868,56823.4543,-2.971311482,56780.054,56777.459,56780.43031,56915.657,-135.2266926,92.78417969,21.34162521,29.54784584,3.834725142,9.971105576,8.016058922,-5.535805225,43.64784241,10.14953995,5.775620937,8.207696915,2.63813591,73.22039795,24.66770744,16.92842865,-0.505890548,3.766172409,-0.715219378,19.03205681,30.86870193,12.27763176,4.621214867,7.253958225,4.290802479,1.087881684,3.29887867,3.614675522,7.422759533,1.954539299,4.268637657,6.777418137,15.11140823,25.22631073,30.77185822,74.33289337,27.97247887,0.001039059,0.001629245,0.000263858
50010,20160226,82004.0,77024,571.0,382511.5718,7308535.125,65.87631114,-149.5767242,108.4321663,107.8914449,108.6154251,136.7954663,214.765,106.8735551,56847.03098,56823.45662,-2.969024808,56779.77,56777.244,56780.21302,56915.66292,-135.4498903,92.98066711,21.22106934,29.36872292,3.963155508,9.980226517,8.193281174,-5.872625351,43.57383347,10.14835167,5.786264896,8.065178871,2.834385872,73.41365814,24.5445137,16.74603462,-0.378412187,3.773701429,-0.541320086,18.69985008,30.7945652,12.2768383,4.631942749,7.111255169,4.487308025,1.025866985,3.327330589,3.620953321,7.381595612,1.971779704,4.258941174,6.785209179,15.11563587,25.17538643,30.67136574,74.25045776,27.60434914,0.001184061,0.00297881,0.000393798
50010,20160226,82004.1,77024,571.1,382514.7267,7308535.533,65.87631596,-149.5766555,108.4067365,107.9637579,108.664238,136.7557165,214.70194,106.7381821,56847.03326,56823.45892,-2.966740215,56779.491,56777.041,56780.00774,56915.66963,-135.6618937,93.02577972,21.22370911,29.17444611,4.096980095,9.985292435,8.47088623,-6.932655811,43.4693985,10.1643858,5.652575493,8.033912659,2.841112852,73.45554352,24.54451561,16.54848862,-0.245539561,3.777175426,-0.267037928,17.64443207,30.69000244,12.29326725,4.498336792,7.079803944,4.494290352,0.958235323,3.344744444,3.604239464,7.345715046,2.024394751,4.244411945,6.723835945,15.11979103,25.12438011,30.59445572,74.28984833,27.17507553,0.001329047,0.003431344,0.000182061
50010,20160226,82004.2,77024,571.2,382517.8815,7308535.941,65.87632078,-149.5765867,108.3201981,108.0628665,108.7379837,136.6548581,214.63888,106.5760135,56847.03554,56823.46121,-2.964457732,56779.215,56776.848,56779.81246,56915.67635,-135.8638949,93.08448029,21.22509766,28.92082024,4.234751701,9.968295097,8.884764671,-8.345802307,43.43319321,10.19235611,5.443204403,8.078529358,2.822993994,73.51101685,24.5432663,16.29159355,-0.108719938,3.758586168,0.143517613,16.23589897,30.65366936,12.32163239,4.289049625,7.124236107,4.476427078,0.886808515,3.356779575,3.561067343,7.318771362,2.102300406,4.226344585,6.61447525,15.12419891,25.07588196,30.53512955,74.40242004,26.72870255,0.000851468,0.001706687,0.000531884
50010,20160226,82004.3,77024,571.3,382521.0364,7308536.349,65.87632559,-149.576518,108.165558,108.1906122,108.8491592,136.485898,214.57582,106.3852078,56847.03782,56823.4635,-2.962177314,56778.943,56776.663,56779.62518,56915.68307,-136.0578941,93.38577271,21.14042282,28.58886528,4.369536877,9.899706841,9.138783455,-9.497757912,43.57166672,10.1927042,5.216479301,8.125204086,2.82273984,73.80908203,24.4559536,15.9563694,0.02511326,3.688405991,0.394213498,15.08855534,30.79201508,12.3223753,4.062408447,7.170725822,4.476428509,0.818888187,3.371572733,3.49106884,7.302200317,2.196300507,4.206982136,6.476493359,15.12848091,25.03186035,30.48586464,74.54632568,26.31557846,0.001497366,0.00225044,0.000821265
50010,20160226,82004.4,77024,571.4,382524.1912,7308536.757,65.87633041,-149.5764492,107.9307021,108.3334921,108.9986649,136.2367221,214.51276,106.1792679,56847.0401,56823.4658,-2.959898914,56778.677,56776.486,56779.4459,56915.68979,-136.2438913,93.96198273,20.98724365,28.27734184,4.505275249,9.757645607,8.870381355,-10.04651642,43.74912262,10.11610889,5.016845226,8.14399147,2.698645353,74.38206482,24.30013657,15.64157486,0.159899652,3.544752836,0.122488476,14.54440975,30.96934319,12.24617577,3.862858295,7.189328194,4.352589607,0.765452266,3.397510767,3.397962809,7.294858932,2.296729803,4.190371513,6.32389164,15.13177109,24.99369812,30.44243813,74.69460297,25.98510361,0.001497366,0.00225044,0.000821265
50010,20160226,82004.5,77024,571.5,382527.3461,7308537.165,65.87633523,-149.5763805,107.5992441,108.4683014,109.1706467,135.8909441,214.4497,105.9813986,56847.04238,56823.46809,-2.957622486,56778.418,56776.315,56779.27262,56915.69651,-136.4238865,94.60040283,20.81315804,28.09565544,4.658199787,9.555905342,8.106516838,-10.08470345,43.70492935,9.987968445,4.891431808,8.14617157,2.327144623,75.01725769,24.12341309,15.45661926,0.311872214,3.34142065,-0.644698977,14.51083469,30.92502213,12.11843014,3.737528563,7.19132328,3.981344223,0.736599565,3.439275026,3.290116787,7.29318285,2.392200232,4.184501171,6.168806553,15.1319437,24.96823692,30.40523529,74.82788086,25.77328873,0.001955226,0.001775883,0.000732016
50010,20160226,82004.6,77024,571.6,382530.5009,7308537.573,65.87634005,-149.5763118,107.1533522,108.5672423,109.339325,135.4307322,214.38664,105.8193977,56847.04465,56823.47038,-2.955348062,56778.166,56776.15,56779.10535,56915.70323,-136.5978797,95.03022003,20.66763878,28.03274536,4.795510292,9.359548569,7.241219044,-9.864994049,43.39913177,9.913805962,4.86641407,8.141781807,1.81342411,75.44384766,23.97525597,15.39043903,0.448230743,3.143471956,-1.513319612,14.73515701,30.61909676,12.04466248,3.712594748,7.186748981,3.467879295,0.737393558,3.495338202,3.179607391,7.295104027,2.472652674,4.20004797,6.019718647,15.126297,24.96565056,30.37592888,74.93000793,25.68753624,0.002644106,0.002383296,0.000248858
50010,20160226,82004.7,77024,571.7,382533.6558,7308537.981,65.87634487,-149.576243,106.5800037,108.6147798,109.4790344,134.8430637,214.32358,105.7088002,56847.04692,56823.47268,-2.953075672,56777.921,56775.993,56778.94608,56915.70995,-136.7638709,95.13743591,20.6180706,27.98711014,4.844302177,9.2352314,6.592987061,-9.506140709,43.08013535,9.961326599,4.934349537,8.126670837,1.431244612,75.5478363,23.92304993,15.34153557,0.496070653,3.017562866,-2.164874554,15.09862328,30.29997253,12.09257793,3.780613899,7.171452999,3.085955143,0.766018689,3.558588982,3.079139233,7.303339005,2.532051802,4.244322777,5.881182671,15.1135025,24.99136734,30.35477829,74.99245453,25.70299911,0.001328692,0.003233585,0.000406674
50010,20160226,82004.8,77024,571.8,382536.8106,7308538.389,65.87634968,-149.5761743,105.8715295,108.608046,109.5461655,134.1202695,214.26052,105.652474,56847.04919,56823.47497,-2.95080527,56777.685,56775.843,56778.79381,56915.71667,-136.9228601,94.95321655,20.73067856,27.89527321,4.806420326,9.186242104,6.166213989,-9.048106194,42.98807144,10.09613323,5.093476295,8.100208282,1.329190731,75.36038971,24.03302193,15.24642944,0.457236826,2.966981649,-2.594970465,15.56127071,30.20778084,12.22777939,3.939824581,7.144805431,2.984156847,0.815128505,3.620052814,2.998415947,7.322454453,2.569805145,4.316973686,5.754930019,15.09371662,25.04440117,30.3424511,75.01728821,25.77565956,0.001273912,0.002874463,0.000408161
50010,20160226,82004.9,77024,571.9,382539.9655,7308538.797,65.8763545,-149.5761055,105.0268927,108.5014302,109.4569168,133.2613127,214.19746,105.6960298,56847.05146,56823.47726,-2.948536808,56777.459,56775.702,56778.65054,56915.72338,-137.0728474,94.5380249,21.04066277,27.7632637,4.78960371,9.169755936,5.850799561,-8.627244949,43.10596466,10.23858356,5.346455574,8.081835747,1.385083437,74.94197083,24.34036827,15.11114979,0.439468235,2.948903561,-2.913707972,15.98674393,30.32554626,12.37062454,4.192887783,7.126247883,3.040305138,0.873941183,3.674769878,2.941183805,7.354925632,2.589062929,4.410402298,5.639396667,15.06775379,25.11654091,30.3421402,75.0166626,25.86929321,0.001071987,0.00336207,0.000713671
50010,20160226,82005.0,77024,572.0,382543.1204,7308539.205,65.87635932,-149.5760368,104.0598113,108.1987827,109.1320496,132.2799113,214.1344,105.9356173,56847.05373,56823.47956,-2.94627024,56777.244,56775.57,56778.51627,56915.7301,-137.2138327,94.02436829,21.5152359,27.58642197,4.868652821,9.159650803,5.690877438,-8.401334763,43.25034332,10.3188839,5.634979248,8.112828255,1.388435721,74.42508698,24.81230354,14.93103886,0.51756537,2.937206507,-3.076952934,16.21726799,30.46979523,12.45132065,4.481494904,7.157055378,3.043912888,0.929617405,3.726262093,2.904502392,7.399846077,2.593628407,4.513138294,5.533891678,15.03730297,25.19693184,30.35845184,75.0062561,25.97015953,0.001598622,0.003909939,0.000628793
50010,20160226,82005.1,77024,572.1,382546.3096,7308539.641,65.8763644,-149.5759673,102.9844217,107.6405289,108.5424805,131.2026717,214.04256,106.4020311,56847.05599,56823.48182,-2.9440056,56777.041,56775.446,56778.39001,56915.73729,-137.3472882,93.65562439,22.0047226,27.34166336,4.975019932,9.157018661,5.829088211,-8.39367485,43.32449722,10.28681183,5.844871998,8.231249809,1.283729553,74.05311584,25.29915237,14.6830101,0.622980475,2.932982445,-2.942065001,16.22953987,30.54382133,12.4196434,4.691471577,7.275292397,2.939462185,0.969594359,3.786542892,2.881527662,7.453154087,2.586376905,4.612882137,5.442294598,15.00526428,25.27662086,30.39579773,74.99459076,26.08331871,0.001478957,0.002683531,0.000401391
50010,20160226,82005.2,77024,572.2,382549.4989,7308540.077,65.87636948,-149.5758979,101.8469783,106.8596433,107.7206955,130.0633783,213.95072,107.0910767,56847.05825,56823.48409,-2.941742919,56776.848,56775.332,56778.27374,56915.74448,-137.4707417,93.58539581,22.29655647,27.08413887,4.986978054,9.155180931,6.230428696,-8.506106377,43.39183426,10.13160515,5.912509918,8.415366173,1.183399558,73.97966003,25.58834839,14.42221642,0.633986652,2.929552794,-2.544047356,16.12172127,30.61103058,12.2648325,4.75919342,7.459223747,2.839387655,0.984979391,3.868808508,2.865617514,7.509048462,2.567382813,4.698660851,5.371777534,14.97496223,25.34856033,30.45574951,74.98671722,26.22454071,0.001107232,0.001991742,0.000444787
50010,20160226,82005.3,77024,572.3,382552.6882,7308540.513,65.87637457,-149.5758284,100.6871723,105.9495308,106.7470322,128.9017223,213.85888,107.9093492,56847.06051,56823.48636,-2.939482146,56776.663,56775.226,56778.16548,56915.75168,-137.5861933,93.70263672,22.27873993,26.9502182,4.887393475,9.132359505,6.634872437,-8.583649635,43.52492523,9.920595169,5.883552074,8.570713043,1.193104982,74.09367371,25.56789398,14.2850256,0.533450067,2.905139446,-2.142926693,16.04878998,30.74399376,12.05421638,4.7303195,7.614385605,2.849348545,0.974034131,3.977653265,2.852716208,7.561433315,2.531526566,4.764264107,5.329379082,14.94907284,25.40778732,30.53461456,74.99243927,26.40827179,0.001107232,0.001991742,0.000444787
50010,20160226,82005.4,77024,572.4,382555.8775,7308540.949,65.87637965,-149.5757589,99.54909515,104.9729679,105.7323074,127.7617952,213.76704,108.7940721,56847.06277,56823.48862,-2.937223228,56776.486,56775.126,56778.06322,56915.75887,-137.695643,93.7980957,22.01736069,27.01556015,4.764650822,9.084968567,6.867460728,-8.451843262,43.69968414,9.773576736,5.847160816,8.620796204,1.334993243,74.18590546,25.30387688,14.3470974,0.409755439,2.856156588,-1.913661242,16.18520927,30.91862488,11.90759373,4.694011688,7.664283752,2.991492271,0.944304883,4.10589695,2.841578722,7.604990959,2.470852613,4.811020374,5.319120884,14.92922783,25.4527626,30.62410164,75.02384949,26.63978386,0.001442629,0.002364318,0.000180471
50010,20160226,82005.5,77024,572.5,382559.0667,7308541.385,65.87638473,-149.5756895,98.47164951,103.9940677,104.7787933,126.6824995,213.6752,109.6811323,56847.06503,56823.49089,-2.934966115,56776.315,56775.031,56777.96597,56915.76606,-137.800091,93.84294891,21.68745613,27.20854568,4.68059206,9.041354179,7.099575996,-7.990351677,43.86780167,9.740016937,5.847609997,8.588253021,1.677816033,74.22753143,24.97133446,14.53681374,0.324744701,2.810950041,-1.684868932,16.65131378,31.08661461,11.8744297,4.694544792,7.631555557,3.334570646,0.91186744,4.239037991,2.833657265,7.636193752,2.381394386,4.848942757,5.343509674,14.91734123,25.48575783,30.7131691,75.09210968,26.9143734,0.001780634,0.00208044,0.000356392
50010,20160226,82005.6,77024,572.6,382562.256,7308541.821,65.87638981,-149.57562,97.48074589,103.1004794,103.9235382,125.6897459,213.58336,110.4828806,56847.06729,56823.49316,-2.932710844,56776.15,56774.94,56777.87271,56915.77325,-137.9005371,93.97531891,21.45761871,27.39873314,4.599457741,9.027626991,7.654847622,-7.233397484,44.02204514,9.750933647,5.879048347,8.546145439,2.363599062,74.35667419,24.73885918,14.72373199,0.242658421,2.795630932,-1.132920146,17.41287994,31.24073029,11.88574123,4.726067066,7.589263439,4.020608902,0.896146417,4.363960266,2.833456039,7.65413475,2.266797066,4.894519806,5.406751156,14.91659451,25.51436424,30.7908535,75.20741272,27.21315765,0.001724203,0.002281328,0.000133291
50010,20160226,82005.7,77024,572.7,382565.4453,7308542.258,65.87639489,-149.5755505,96.59077907,102.2841248,103.1278763,124.7979291,213.49152,111.2073952,56847.06954,56823.49542,-2.93045745,56775.993,56774.852,56777.78246,56915.78044,-137.9979813,94.24865723,21.38991928,27.53132629,4.434741497,9.038825035,8.526065826,-6.428224087,44.14661789,9.746778488,5.930306911,8.520752907,3.337789297,74.62678528,24.66852188,14.85305595,0.076990195,2.805237055,-0.265024871,18.22266769,31.36517525,11.8819809,4.777409554,7.563685894,4.995054722,0.91259563,4.476042747,2.847695827,7.661265373,2.137442112,4.962771416,5.515656948,14.93225861,25.54697609,30.84924126,75.38043213,27.50805473,0.001724203,0.002281328,0.000133291
50010,20160226,82005.8,77024,572.8,382568.6346,7308542.694,65.87639998,-149.5754811,95.80420676,101.4665521,102.3175735,124.0095068,213.39968,111.9331279,56847.07179,56823.49769,-2.928205875,56775.843,56774.767,56777.69521,56915.78763,-138.0924237,94.54508972,21.43139267,27.64747429,4.133908749,9.060305595,9.269316673,-5.921887398,44.19187164,9.764814377,6.003351688,8.485415459,4.238284111,74.91999054,24.70735741,14.96593475,-0.224794537,2.825125694,0.474903047,18.73361588,31.41030121,11.90041161,4.850538254,7.528163433,5.895805359,0.96661222,4.580135345,2.882727385,7.661975861,2.007665396,5.059084892,5.675830841,14.97121334,25.59052467,30.88559914,75.62248993,27.77545357,0.001803675,0.00291967,0.000515168
